exp,src,dst,number_of_packets,packet_size,time
87,0,1,100,40,0.000011
88,0,1,100,40,0.000011
89,0,1,100,40,0.000011
90,0,1,100,40,0.000011
91,0,1,100,40,0.000011
92,0,1,100,40,0.000011
93,0,1,100,40,0.000011
94,0,1,100,40,0.000011
95,0,1,100,40,0.000012
96,0,1,100,40,0.000011
97,0,1,100,40,0.000011
98,0,1,100,40,0.000011
99,0,1,100,40,0.000011
1,0,1,100,400,0.000237
2,0,1,100,400,0.000059
3,0,1,100,400,0.000021
4,0,1,100,400,0.000020
5,0,1,100,400,0.000020
6,0,1,100,400,0.000020
7,0,1,100,400,0.000020
8,0,1,100,400,0.000021
9,0,1,100,400,0.000021
10,0,1,100,400,0.000021
11,0,1,100,400,0.000021
12,0,1,100,400,0.000020
13,0,1,100,400,0.000019
14,0,1,100,400,0.000020
15,0,1,100,400,0.000020
16,0,1,100,400,0.000029
17,0,1,100,400,0.000023
18,0,1,100,400,0.000020
19,0,1,100,400,0.000021
20,0,1,100,400,0.000020
21,0,1,100,400,0.000020
22,0,1,100,400,0.000021
23,0,1,100,400,0.000021
24,0,1,100,400,0.000020
25,0,1,100,400,0.000021
26,0,1,100,400,0.000020
27,0,1,100,400,0.000021
28,0,1,100,400,0.000020
29,0,1,100,400,0.000020
30,0,1,100,400,0.000020
31,0,1,100,400,0.000021
32,0,1,100,400,0.000020
33,0,1,100,400,0.000019
34,0,1,100,400,0.000020
35,0,1,100,400,0.000019
36,0,1,100,400,0.000020
37,0,1,100,400,0.000024
38,0,1,100,400,0.000021
39,0,1,100,400,0.000020
40,0,1,100,400,0.000020
41,0,1,100,400,0.000020
42,0,1,100,400,0.000020
43,0,1,100,400,0.000020
44,0,1,100,400,0.000020
45,0,1,100,400,0.000021
46,0,1,100,400,0.000020
47,0,1,100,400,0.000021
48,0,1,100,400,0.000020
49,0,1,100,400,0.000020
50,0,1,100,400,0.000020
51,0,1,100,400,0.000020
52,0,1,100,400,0.000020
53,0,1,100,400,0.000021
54,0,1,100,400,0.000021
55,0,1,100,400,0.000021
56,0,1,100,400,0.000021
57,0,1,100,400,0.000020
58,0,1,100,400,0.000020
59,0,1,100,400,0.000021
