bounce,src,dst,packet_size,time
0,0,1,4,0.002199
1,0,1,4,0.000780
2,0,1,4,0.000768
3,0,1,4,0.000776
4,0,1,4,0.000766
5,0,1,4,0.000761
6,0,1,4,0.000768
7,0,1,4,0.000762
8,0,1,4,0.000756
9,0,1,4,0.000760
10,0,1,4,0.000756
11,0,1,4,0.000757
12,0,1,4,0.000765
13,0,1,4,0.000767
14,0,1,4,0.000761
15,0,1,4,0.000768
16,0,1,4,0.000757
17,0,1,4,0.000762
18,0,1,4,0.000761
19,0,1,4,0.000760
20,0,1,4,0.000764
21,0,1,4,0.000765
22,0,1,4,0.000767
23,0,1,4,0.000754
24,0,1,4,0.000788
25,0,1,4,0.000777
26,0,1,4,0.000770
27,0,1,4,0.000760
28,0,1,4,0.000769
29,0,1,4,0.000762
30,0,1,4,0.000760
31,0,1,4,0.000761
32,0,1,4,0.000756
33,0,1,4,0.000764
34,0,1,4,0.000755
35,0,1,4,0.000765
36,0,1,4,0.000764
37,0,1,4,0.000765
38,0,1,4,0.000754
39,0,1,4,0.000760
40,0,1,4,0.000766
41,0,1,4,0.000777
42,0,1,4,0.000779
43,0,1,4,0.000777
44,0,1,4,0.000773
45,0,1,4,0.000775
46,0,1,4,0.000777
47,0,1,4,0.000761
48,0,1,4,0.000765
49,0,1,4,0.000776
50,0,1,4,0.000775
51,0,1,4,0.000775
52,0,1,4,0.000771
53,0,1,4,0.000759
54,0,1,4,0.000776
55,0,1,4,0.000776
56,0,1,4,0.000755
57,0,1,4,0.000765
58,0,1,4,0.000777
59,0,1,4,0.000776
60,0,1,4,0.000776
61,0,1,4,0.000769
62,0,1,4,0.000781
63,0,1,4,0.000776
64,0,1,4,0.000778
65,0,1,4,0.000778
66,0,1,4,0.000760
67,0,1,4,0.000781
68,0,1,4,0.000780
69,0,1,4,0.000770
70,0,1,4,0.000779
71,0,1,4,0.000779
72,0,1,4,0.000776
73,0,1,4,0.000761
74,0,1,4,0.000775
75,0,1,4,0.000757
76,0,1,4,0.000775
77,0,1,4,0.000776
78,0,1,4,0.000759
79,0,1,4,0.000770
80,0,1,4,0.000759
81,0,1,4,0.000777
82,0,1,4,0.000775
83,0,1,4,0.000770
84,0,1,4,0.000756
85,0,1,4,0.000772
86,0,1,4,0.000762
87,0,1,4,0.000786
88,0,1,4,0.000776
89,0,1,4,0.000778
90,0,1,4,0.000776
91,0,1,4,0.000778
92,0,1,4,0.000767
93,0,1,4,0.000776
94,0,1,4,0.000767
95,0,1,4,0.000761
96,0,1,4,0.000778
97,0,1,4,0.000777
98,0,1,4,0.000772
99,0,1,4,0.000776
0,0,1,40,0.002009
1,0,1,40,0.000799
2,0,1,40,0.000787
3,0,1,40,0.000788
4,0,1,40,0.000783
5,0,1,40,0.000791
6,0,1,40,0.000789
7,0,1,40,0.000790
8,0,1,40,0.000805
9,0,1,40,0.000801
10,0,1,40,0.000792
11,0,1,40,0.000799
12,0,1,40,0.000802
13,0,1,40,0.000801
14,0,1,40,0.000791
15,0,1,40,0.000799
16,0,1,40,0.000793
17,0,1,40,0.000789
18,0,1,40,0.000806
19,0,1,40,0.000782
20,0,1,40,0.000796
21,0,1,40,0.000790
22,0,1,40,0.000788
23,0,1,40,0.000806
24,0,1,40,0.000799
25,0,1,40,0.000801
26,0,1,40,0.000796
27,0,1,40,0.000798
28,0,1,40,0.000803
29,0,1,40,0.000790
30,0,1,40,0.000780
31,0,1,40,0.000793
32,0,1,40,0.000774
33,0,1,40,0.000786
34,0,1,40,0.000808
35,0,1,40,0.000804
36,0,1,40,0.000806
37,0,1,40,0.000805
38,0,1,40,0.000798
39,0,1,40,0.000799
40,0,1,40,0.000797
41,0,1,40,0.000787
42,0,1,40,0.000781
43,0,1,40,0.000791
44,0,1,40,0.000800
45,0,1,40,0.000796
46,0,1,40,0.000790
47,0,1,40,0.000804
48,0,1,40,0.000803
49,0,1,40,0.000797
50,0,1,40,0.000793
51,0,1,40,0.000796
52,0,1,40,0.000776
53,0,1,40,0.000796
54,0,1,40,0.000793
55,0,1,40,0.000796
56,0,1,40,0.000795
57,0,1,40,0.000791
58,0,1,40,0.000797
59,0,1,40,0.000794
60,0,1,40,0.000796
61,0,1,40,0.000794
62,0,1,40,0.000795
63,0,1,40,0.000778
64,0,1,40,0.000790
65,0,1,40,0.000800
66,0,1,40,0.000792
67,0,1,40,0.000792
68,0,1,40,0.000801
69,0,1,40,0.000795
70,0,1,40,0.000797
71,0,1,40,0.000791
72,0,1,40,0.000796
73,0,1,40,0.000796
74,0,1,40,0.000795
75,0,1,40,0.000784
76,0,1,40,0.000795
77,0,1,40,0.000790
78,0,1,40,0.000790
79,0,1,40,0.000781
80,0,1,40,0.000792
81,0,1,40,0.000796
82,0,1,40,0.000791
83,0,1,40,0.000799
84,0,1,40,0.000786
85,0,1,40,0.000795
86,0,1,40,0.000797
87,0,1,40,0.000792
88,0,1,40,0.000795
89,0,1,40,0.000790
90,0,1,40,0.000794
91,0,1,40,0.000795
92,0,1,40,0.000790
93,0,1,40,0.000795
94,0,1,40,0.000786
95,0,1,40,0.000795
96,0,1,40,0.000790
97,0,1,40,0.000800
98,0,1,40,0.000797
99,0,1,40,0.000790
0,0,1,400,0.002241
1,0,1,400,0.000914
2,0,1,400,0.000917
3,0,1,400,0.000917
4,0,1,400,0.000905
5,0,1,400,0.000928
6,0,1,400,0.000896
7,0,1,400,0.000900
8,0,1,400,0.000907
9,0,1,400,0.000927
10,0,1,400,0.000801
11,0,1,400,0.000949
12,0,1,400,0.000905
13,0,1,400,0.000897
14,0,1,400,0.000899
15,0,1,400,0.000903
16,0,1,400,0.000902
17,0,1,400,0.000898
18,0,1,400,0.000886
19,0,1,400,0.000897
20,0,1,400,0.000857
21,0,1,400,0.000868
22,0,1,400,0.000829
23,0,1,400,0.000827
24,0,1,400,0.000828
25,0,1,400,0.000778
26,0,1,400,0.000840
27,0,1,400,0.000857
28,0,1,400,0.000848
29,0,1,400,0.000845
30,0,1,400,0.000888
31,0,1,400,0.000859
32,0,1,400,0.000878
33,0,1,400,0.000883
34,0,1,400,0.000840
35,0,1,400,0.000887
36,0,1,400,0.000868
37,0,1,400,0.000837
38,0,1,400,0.000839
39,0,1,400,0.000789
40,0,1,400,0.000805
41,0,1,400,0.000837
42,0,1,400,0.000855
43,0,1,400,0.000855
44,0,1,400,0.000852
45,0,1,400,0.000876
46,0,1,400,0.000884
47,0,1,400,0.000841
48,0,1,400,0.000843
49,0,1,400,0.000887
50,0,1,400,0.000899
51,0,1,400,0.000847
52,0,1,400,0.000838
53,0,1,400,0.000809
54,0,1,400,0.000888
55,0,1,400,0.000885
56,0,1,400,0.000829
57,0,1,400,0.000885
58,0,1,400,0.000883
59,0,1,400,0.000889
60,0,1,400,0.000893
61,0,1,400,0.000827
62,0,1,400,0.000907
63,0,1,400,0.000832
64,0,1,400,0.000889
65,0,1,400,0.000820
66,0,1,400,0.000854
67,0,1,400,0.000870
68,0,1,400,0.000826
69,0,1,400,0.000817
70,0,1,400,0.000862
71,0,1,400,0.000847
72,0,1,400,0.000836
73,0,1,400,0.000811
74,0,1,400,0.000834
75,0,1,400,0.000812
76,0,1,400,0.000788
77,0,1,400,0.000844
78,0,1,400,0.000790
79,0,1,400,0.000818
80,0,1,400,0.000810
81,0,1,400,0.000817
82,0,1,400,0.000811
83,0,1,400,0.000799
84,0,1,400,0.000809
85,0,1,400,0.000821
86,0,1,400,0.000807
87,0,1,400,0.000817
88,0,1,400,0.000808
89,0,1,400,0.000826
90,0,1,400,0.000791
91,0,1,400,0.000819
92,0,1,400,0.000812
