1,0,1,1,4,0.001944,lab004-090
2,0,1,1,4,0.000792,lab004-090
1,4,5,1,4,0.002190,lab004-094
1,2,3,1,4,0.002391,lab004-092
3,0,1,1,4,0.000510,lab004-090
2,4,5,1,4,0.000777,lab004-094
2,2,3,1,4,0.000783,lab004-092
4,0,1,1,4,0.000758,lab004-090
3,4,5,1,4,0.000524,lab004-094
5,0,1,1,4,0.000537,lab004-090
3,2,3,1,4,0.000772,lab004-092
4,4,5,1,4,0.000767,lab004-094
6,0,1,1,4,0.000765,lab004-090
1,6,7,1,4,0.002941,lab004-096
5,4,5,1,4,0.000520,lab004-094
4,2,3,1,4,0.000773,lab004-092
7,0,1,1,4,0.000504,lab004-090
2,6,7,1,4,0.001004,lab004-096
5,2,3,1,4,0.000519,lab004-092
6,4,5,1,4,0.000759,lab004-094
8,0,1,1,4,0.000747,lab004-090
6,2,3,1,4,0.000768,lab004-092
9,0,1,1,4,0.000523,lab004-090
7,4,5,1,4,0.000768,lab004-094
3,6,7,1,4,0.000966,lab004-096
7,2,3,1,4,0.000514,lab004-092
10,0,1,1,4,0.000518,lab004-090
8,4,5,1,4,0.000767,lab004-094
11,0,1,1,4,0.000511,lab004-090
4,6,7,1,4,0.000999,lab004-096
8,2,3,1,4,0.000762,lab004-092
9,4,5,1,4,0.000759,lab004-094
9,2,3,1,4,0.000510,lab004-092
12,0,1,1,4,0.000511,lab004-090
5,6,7,1,4,0.000990,lab004-096
13,0,1,1,4,0.000759,lab004-090
10,4,5,1,4,0.000758,lab004-094
10,2,3,1,4,0.000766,lab004-092
14,0,1,1,4,0.000507,lab004-090
11,4,5,1,4,0.000758,lab004-094
6,6,7,1,4,0.000970,lab004-096
11,2,3,1,4,0.000764,lab004-092
15,0,1,1,4,0.000751,lab004-090
12,4,5,1,4,0.000763,lab004-094
12,2,3,1,4,0.000760,lab004-092
13,4,5,1,4,0.000512,lab004-094
7,6,7,1,4,0.000989,lab004-096
16,0,1,1,4,0.000771,lab004-090
13,2,3,1,4,0.000771,lab004-092
17,0,1,1,4,0.000506,lab004-090
8,6,7,1,4,0.000948,lab004-096
14,2,3,1,4,0.000519,lab004-092
14,4,5,1,4,0.000758,lab004-094
18,0,1,1,4,0.000764,lab004-090
15,4,5,1,4,0.000761,lab004-094
9,6,7,1,4,0.000959,lab004-096
15,2,3,1,4,0.000755,lab004-092
19,0,1,1,4,0.000769,lab004-090
16,4,5,1,4,0.000514,lab004-094
16,2,3,1,4,0.000510,lab004-092
20,0,1,1,4,0.000513,lab004-090
10,6,7,1,4,0.000980,lab004-096
17,4,5,1,4,0.000759,lab004-094
17,2,3,1,4,0.000768,lab004-092
21,0,1,1,4,0.000513,lab004-090
18,4,5,1,4,0.000510,lab004-094
22,0,1,1,4,0.000498,lab004-090
11,6,7,1,4,0.000991,lab004-096
18,2,3,1,4,0.000771,lab004-092
19,4,5,1,4,0.000767,lab004-094
23,0,1,1,4,0.000770,lab004-090
19,2,3,1,4,0.000765,lab004-092
12,6,7,1,4,0.000998,lab004-096
20,4,5,1,4,0.000758,lab004-094
24,0,1,1,4,0.000521,lab004-090
20,2,3,1,4,0.000519,lab004-092
13,6,7,1,4,0.000960,lab004-096
25,0,1,1,4,0.000743,lab004-090
21,2,3,1,4,0.000520,lab004-092
21,4,5,1,4,0.000758,lab004-094
26,0,1,1,4,0.000512,lab004-090
22,2,3,1,4,0.000756,lab004-092
22,4,5,1,4,0.000764,lab004-094
